name,prm_generations,paths_per_prm,median_build_time_ms,mean_build_time_ms,median_find_time_ms,mean_find_time_ms,success_rate,median_edge_count,mean_edge_count,median_path_length,mean_path_length
[canopy] Baseline K-Nearest,1000,1000,2.403235,2.553118563,1.148907,1.231826280933975,0.994594,186.0,186.322,0.6205638724617071,0.6942054675567979
[canopy] Baseline Distance,1000,1000,1.8736410000000001,1.8253361199999998,1.196622,1.2112029215080293,0.657044,133.0,133.362,0.5295115120516924,0.6590325252280768
[canopy] Connectivity K-Nearest (k=2),1000,1000,1.924284,1.7619799030000005,1.0957835,1.1420137294850297,0.869947,129.0,128.985,0.789003838636844,0.9821631126531681
[canopy] Connectivity K-Nearest (k=4),1000,1000,3.562989,3.245875935000003,1.23428,1.268321415937033,0.998752,242.0,242.177,0.5421767449681069,0.5803823034127416
[canopy] Connectivity Distance (d=0.175),1000,1000,1.3041745,1.280355381000001,1.0740859999999999,1.0401633838990039,0.284677,92.0,92.618,0.3990630011445049,0.49602716486193654
[canopy] Connectivity Distance (d=0.225),1000,1000,2.521851,2.4424806109999992,1.277184,1.3103926934669794,0.931933,182.0,182.605,0.5339809930457899,0.6342268945814961
[canopy] Heuristic Joint-Space (K-Nearest),1000,1000,2.734319,2.4922963769999953,1.157222,1.196099679905048,0.994064,186.0,186.253,0.6185990940825994,0.6937967439014092
[canopy] Heuristic Joint-Space (Distance),1000,1000,1.8480015,1.7958463609999988,1.1670155,1.180249770066068,0.655269,132.0,133.222,0.5278478548758071,0.6580248962547681
[canopy] Cycle Avoidance True (K-Nearest),1000,1000,1.529534,1.389260107,1.1517229999999998,1.1893380417420116,0.994482,99.0,98.552,0.7254412178686591,0.9250989196318286
[canopy] Cycle Avoidance True (Distance),1000,1000,1.2241425000000001,1.1448324760000006,1.161033,1.176118757657961,0.657418,81.0,81.051,0.5624014499652593,0.7349856005465046
[canopy] Density 50 (K-Nearest),1000,1000,1.2631645,1.2814121159999996,1.1193325,1.2430714488780439,0.99435,92.0,91.93,0.5738442986467978,0.6281919439953249
[canopy] Density 50 (Distance),1000,1000,0.4817345,0.49240291200000025,1.0161105,0.9487752291640156,0.240083,34.0,34.271,0.3493715286909308,0.4327779243342571
[canopy] Density 200 (K-Nearest),1000,1000,5.5300465,5.001699541999994,1.162766,1.1963379542269772,0.996031,375.0,375.398,0.6762529339222754,0.7358942028346316
[canopy] Density 200 (Distance),1000,1000,7.435951,6.9913923280000025,1.3890725000000002,1.4172953950100124,0.993148,532.0,533.302,0.5063205886307202,0.554945321165561
[canopy] Sampling Gaussian (sigma=0.04) (K-Nearest),1000,1000,2.6798805,2.9618840889999993,1.1067825,1.264310941775994,0.695193,131.0,131.254,0.5915507268218331,0.6862726164105218
[canopy] Sampling Gaussian (sigma=0.04) (Distance),1000,1000,4.526043,4.517401144999998,0.8941334999999999,0.7852743387180062,0.33637,188.0,188.575,0.5776292242142527,0.6683507825770717
[canopy] Sampling Gaussian (sigma=0.05) (K-Nearest),1000,1000,3.0636175,3.024076613,1.1732354999999999,1.274301270785015,0.778257,140.0,140.034,0.6118503843229295,0.7173648814125849
[canopy] Sampling Gaussian (sigma=0.05) (Distance),1000,1000,4.149160500000001,4.13827934599999,0.8948745,0.7854039233959749,0.385843,196.0,196.166,0.598777185913241,0.6823502719267452
[canopy] Sampling Gaussian (sigma=0.06) (K-Nearest),1000,1000,3.0348865,2.9602961800000003,1.1590715,1.2565624169909702,0.8391,147.0,147.136,0.6248031651346533,0.7311527987858579
[canopy] Sampling Gaussian (sigma=0.06) (Distance),1000,1000,3.959485,4.021798650000005,0.9169404999999999,0.816223752928977,0.422499,198.0,199.718,0.6058531999945116,0.6854821181180313
